file_name,file_origin,text
EFTA02753878.pdf,court-records-doe-v-united-states-no-908-cv-80736-sd-fla-2008-1,"Case 9:08-cv-80736-KAM Document 172-1 Entered on FLSD Docket 05/21/2012 Page 1 of 2




   EXHIBIT A




                                                                            EFTA02753878
   Case 9:08-cv-80736-KAM Document 172-1 Entered on FLSD Docket 05/21/2012 Page 2 of 2




     Original Message
From: Tonja Haddad Coleman fmailto:tonia8toniahaddadpa.coml
Sent: Tuesday, May 08, 2012 3:07 PM
To: 'Jack Scarola'
Cc: Brad MB
Subject: RE: Epstein discovery


Jack:

Thank you for your response. I am sure you are aware that the law permits
you to respond to a discovery request by stating that ""without waiving the
objection"" you are producing the documents. However, because I have yet to
see the documents, or your privilege log, I cannot possibly agree to
anything, much less concede a privilege, as it is my understanding that some
of the items to which you are objecting, for example, are electronic
communications to/from government entities which, as Mr.         is likely
aware from his days as a government attorney, are legally a matter of public
record, will not, in fact, be privileged under any theory.
That being said, kindly send what you have and if we still deem it
non-responsive, in non-compliance with the Court's order, or otherwise not
subject to any privilege, we can take it up with the Judge.
Thank you.


Tonja Haddad Coleman, Esq
Tonja Haddad, P.A.
Justice Building
524 South Andrews Avenue
Suite 200 North
Fort Lauderdale, Florida 33301
(954) 467-1223
(954) 337-3716 facsimile
www.toniahaddadpa.com

The information contained in this transmission may contain privileged and
confidential information. It is intended only for the use of the person(s)
named above. If you are not the intended recipient, you are hereby notified
that any review, dissemination, distribution or duplication of this
communication is strictly prohibited. If you are not the intended recipient,
please contact the sender by reply email and destroy all copies of the
original message.




                                                                               EFTA02753879
"
EFTA02753887.pdf,court-records-doe-v-united-states-no-908-cv-80736-sd-fla-2008-1," Case 9:08-cv-80736-KAM Document 177-1 Entered on FLSD Docket 06/06/2012 Page 1 of 22

Tonja Haddad Coleman
From:                    Jack Scarola IJSX@SearcyLaw.corn]
Sent:                    Tuesday, May 08, 2012 3:41 PM
To:                      <tonja@tonjahaddadpa.com>
Subject:                 Re: Epstein discovery

Thank you.

On May 8, 2012. at 3:27 PM, ""Tonja Haddad Coleman"" <tonja®tonjahaddadpa.com> wrote:

> Fine.

> Tonja Haddad Coleman. Esq.
> Tonja Haddad, P.A.
> Justice Building
> 524 South Andrews Avenue
> Suite 200 North
> Fort Lauderdale. Florida 33301
> (954) 467-1223
> (954) 337-3716 facsimile
> www.tonjahaddadpa.com

> The information contained in this transmission may contain privileged
> and confidential information. It is intended only for the use of the
> person(s) named above. If you are not the intended recipient, you arc
> hereby notified that any review, dissemination, distribution or
> duplication of this communication is strictly prohibited. If you are
> not the intended recipient, please contact the sender by reply email
> and destroy all copies of the original message.



>     Original Message
> From: Jack Scarola Emailto:JSX@SearcyLaw.com]
> Sent: Tuesday. May 08, 2012 3:23 PM
> To: <tonjartScahaddadpa.com>
> Cc: Brad
> Subject: Re: Epstein discovery

> You have misunderstood my communication. I am not asking you to waive
> anything but only to agree that the production we are making does not
> constitute a waiver as to anything we have continued to assert is
> privileged.

> On May 8, 2012, at 3:08 PM, ""Tonja Haddad Coleman""
> <tonja@tonjahaddadpa.com>
> wrote:

>>
>> Jack:




                                                                                      EFTA02753887
  Case 9:08-cv-80736-KAM Document 177-1 Entered on FLSD Docket 06/06/2012 Page 2 of 22

>> Thank you for your response. I am sure you are aware that the law
>> permits you to respond to a discovery request by stating that
>> ""without waiving the objection"" you are producing the documents.
>> I lowever, because I have yet
> to
>> sec the documents, or your privilege log, I cannot possibly agree to
>> anything. much less concede a privilege, as it is my understanding
>> that
> some
>> of the items to which you are objecting, for example, are el
>> communications to/from government entities which, as Mr.               is
>> likely aware from his days as a government attorney, arc legally a
>> matter of
> public
>> record, will not, in fact, be privileged under any theory.
>> That being said, kindly send what you have and if we still deem it
>> non-responsive, in non-compliance with the Court's order, or
>> otherwise not subject to any privilege, we can take it up with the Judge.
>> Thank you.


>> Tonja Haddad Coleman, Esq.
>> Tonja Haddad, P.A.
>> Justice Building
>> 524 South Andrews Avenue
>> Suite 200 North
>> Fort Lauderdale, Florida 33301
>> (954) 467-1223
>> (954) 337-3716 facsimile
>> www.tonjahaddadpa.com
>>
>> The information contained in this transmission may contain privileged
>> and confidential information. It is intended only for the use of the
> person(s)
>> named above. If you are not the intended recipient, you are hereby
> notified
>> that any review, dissemination, distribution or duplication of this
>> communication is strictly prohibited. If you are not the intended
> recipient,
>> please contact the sender by reply email and destroy all copies of
>> the original message.



>>     Original Message
>> From: Jack Scarola [mailto:JSX@SearcyLaw.com]
>> Sent: Tuesday, May 08, 2012 11:35 AM
>> To: tonja ton.ahaddadpa.com
» Cc: Brad
>> Subject: Epstein discovery
                                                         2




                                                                               EFTA02753888
  Case 9:08-cv-80736-KAM Document 177-1 Entered on FLSD Docket 06/06/2012 Page 3 of 22

>> I have completed my review of the documents responsive to your
>> outstanding discovery request and it appears from that review that
>> ALL of the
> documents
>> fall within the attorney work product privilege. Nevertheless, we are
>> prepared to produce the documents to you today with very minor and
>> clearly identified redactions, if you will agree that our production
» does not constitute or support a waiver of any other privilege
>> assertion. In the absence of such an agreement, we will be obliged to
>> assert privilege as to all the documents and make them available to
>> the Court for in camera inspection.
>> Please let me have your response at your earliest convenience so as
>> not to delay our production.



                     Privileged and Confidential Electronic communication
>> is not
>a
>> secure mode of communication and may be accessed by unauthorized persons.
>> This communication originates from the law firm of Searcy Denney
>> Scarola Barnhart & Shipley. P.A. and is protected under the
>> Electronic
> Communication
>> Privacy Act, 18 U.S.C. 52510-2521. The information contained in this
> E-mail
>> message is privileged and confidential under Ha. R. Jud. Admin.
>> 2.420 and information intended only for the use of the individual(s)
>> named above. If the reader of this message is not the intended
>> recipient, you are hereby notified that any dissemination,
>> distribution, or copy of this
> communication
>> is strictly prohibited. Personal messages express views solely of the
> sender
>> and shall not be attributed to the law firm. If you received this
>> communication in error, please notify the sender immediately by
>> e-mail or
> by
>> telephone at (800) 780-8607 and destroy all copies of the original
> message.
>> Thank you.




                    Privileged and Confidential Electronic communication is
 > not a secure mode of communication and may be accessed by unauthorized persons.
                                                        3




                                                                                     EFTA02753889
  Case 9:08-cv-80736-KAM Document 177-1 Entered on FLSD Docket 06/06/2012 Page 4 of 22
> This communication originates from the law firm of Searcy Denney
> Scarola Barnhart & Shipley, P.A. and is protected under the Electronic
> Communication Privacy Act, 18 U.S.C. S2510-2521. The information
> contained in this E-mail message is privileged and confidential under
> Fla. R. Jud. Admin. 2.420 and information intended only for the use of
> the individual(s) named above. If the reader of this message is not
> the intended recipient, you are hereby notified that any
> dissemination, distribution, or copy of this communication is strictly
> prohibited. Personal messages express views solely of the sender and
> shall not be attributed to the law firm. If you received this
> communication in error, please notify the sender immediately by e-mail or by telephone at (800) 780-8607 and
destroy all copies of the original message.
> Thank you.




Privileged and Confidential Electronic communication is not a secure mode of communication and may be
accessed by unauthorized persons. This communication originates from the law firm of Scatty Denney Scarola
Barnhart & Shipley. P.A. and is protected under the Electronic Communication Privacy Act, 18 U.S.C.
S2510-2521. The information contained in this E-mail message is privileged and confidential under Fla. R. Jud.
Admin. 2.420 and information intended only for the use of the individual(s) named above. If the reader of this
message is not the intended recipient, you are hereby notified that any dissemination, distribution, or copy of
this communication is strictly prohibited. Personal messages cxprcss views solely of the sender and shall not be
attributed to the law firm. If you received this communication in error, please notify the sender immediately by
e-mail or by telephone at (800) 780-8607 and destroy all copies of the original message. Thank you.




                                                        4




                                                                                                    EFTA02753890
 Case 9:08-cv-80736-KAM Document 177-1 Entered on FLSD Docket 06/06/2012 Page 5 of 22




                     IN THE CIRCUIT COURT OF THE 15th JUDICIAL CIRCUIT
                         IN AND FOR PALM BEACH COUNTY, FLORIDA

                                        CIVIL DIVISION AG
                                  CASE NO. 502009CA040800XXXXMB
                                         Judge David F.


    JEFFREY EPSTEIN,

           Plaintiff/Counter-Defendant,

    v.

    SCOTT ROTHSTEIN individually, and
            J.           individually,

           Defendants/Counter-Plaintiffs.




                       ORDER ON PLAINTIFF JEFFREY EPSTEIN'S
                  MOTION TO COMPEL AND AMEND PROTECTIVE ORDER

           THIS MATTER came before the Court on Plaintiff Jeffrey Epstein's Motion to Compel and

    Amend Protective Order in the above-styled case. This Court having reviewed the Motion, having

    heard argument of counsel, and being otherwise fully advised in the premises, it is hereby

            ORDERED AND ADJUDGED as follows:, The Motion seeks to Compel a Request to
            c and to modify this Court's prior Protective Order in regard to specific requests of the Defendant
                 . In addition, the Motion seeks authority to direct a subpoena to the Bankruptcy Trustee of
    the former law firm of the Defendants                and ROTHSTEIN. The Court finds that the Amended
    Request for Production and request for subpoena, does request documents which the Court finds are either
    relevant and/or reasonably calculated to lead to admissible evidence. Therefore, within twenty (20) days
    of the date of this Order, the Defendant                 shall produce any non-privileged documents as
    identified in Paragraph 13 of Mt             Motion to Compel and Amend Protective Order. In addition,
    the Plaintiff EPSTEIN is given authority to issue a subpoena to the Bankruptcy Trustee requesting the
    identical documents that arc non-privileged.
             Nothing in this Order shall constitute an waiver or ruling upon any privilege that may apply to
    said documents and the Defendant                      and/or others may file an objection :to any such
    documentation on any privilege grounds an s all file a privilege log specifically identifying such
    documents.




                                                                                                         EFTA02753891
