file_name,file_origin,text
EFTA02845981.pdf,court-records-v-nine-east-71st-street-no-119-cv-07625-sdny-2019-1,"EXHIBIT A




            EFTA02845981
   CasCas1.91cYg36 6064WMAF Dccii1WWF1.41-PlieeFilenli.
                                                                   USDC SDNY
                                                                   DOCUMENT
UNITED STATES DISTRICT COURT                                       ELECTRONICALLY FILED
SOUTHERN DISTRICT OF NEW YORK                                      1)OC
                                                  x
                                                                 I DATE FILED: ITh
UNITED STATES OF AMERICA,

                              Government,                 19 CR. 490 (RMS)

               - against -                                    ORDER

JEFFREY EPSTEIN,
                              Defendant.
                                                  x


       The Clerk is respectfully requested to docket the enclosed documents which were

discussed at today's bail hearing.


Dated: New York, New York
       July 15, 2019



                                                      RICHARD M. BERMAN
                                                           U.S.D.J.




                                                                                         EFTA02845982
             CaVA:49.-CIBIWOW)429gF DoEt             lalligaggr             ieFRIThe ft3of 3
                                              U.S. v. Jeffrey Epstein, 9-cr-490 (RMB)

                        ASSET SUMMARY - JUNE 30, 2019

                                                                              6/30/19
                                Asset                                          Value
     Cash                                                              $         56,547,773
 * Fixed Income                                                        $         14,304,679 I
 * Equities                                                            $        112,679,138
 * Hedge Funds & Private Equity                                        $        194,986,301
     Properties
***    9 East 71st Street, New York, NY 10021                          $         55,931 000
       49 Zorro Ranch Road, Stanley New Mexico 87056                   $         17,246,208
       358 El Brillo Way, Palm Beach, FL 33480                         $         12,380,209
       22 Avenue Foch, Paris France 75116                              $          8,672,823
       Great St James Island No. 6A USVI 00802 (parcels A1,C)          $         22,498,600
****   Little St James Island No. 6B USVI 00802 (parcels A, C)         $         63,874,223




    Total Assets                                                       $     559,120,954

    *   Values reflect gross numbers that are not net of tax

    ** All properties are valued at assessed values as per the most recent
      property tax bills

    *** Note the United States Attorney's office for the Southern District of New York
       has stated that the value of this home is $77,000,000 as compared to the
       market value shown above per the June 1, 2019 property tax bill
                                                                   I
    **** Note this property is valued at cost basis, however the assessment on
       the most recent tax bill is $4,857,500                      I




                                                                                              EFTA02845983
"
EFTA02845984.pdf,court-records-v-nine-east-71st-street-no-119-cv-07625-sdny-2019-1,"EXHIBIT B




            EFTA02845984
    Case 1:19-cv-07625-AJN-DCF   Document 1-2   Filed 08/14/19   Page 2 of 15




 UNITED STATES DISTRICT COURT
 SOUTHERN DISTRICT OF NEW YORK
                                    x
                                           SEALED
  UNITED. STATES OF AMERICA                INDICTMENT

                                           19 Cr.

  JEFFREY EPSTEIN,

             Defendant.
                                        19CRIM 490
                                    x

                               COUNT ONE
                     (Sex Trafficking Conspiracy)

           The Grand Jury charges:

                                OVERVIEW

           1.   As set forth herein, over the course of many

years, JEFFREY EPSTEIN, the defendant, sexually exploited and

abused dozens of minor girls at his homes in Manhattan, New

York, and Palm Beach, Florida, among other locations.

           2.   In particular, from at least in or about 2002, up

to and including at least in or about 2005, JEFFREY EPSTEIN, the

defendant, enticed and recruited, and caused to be enticed and

recruited, minor girls to visit his mansion in Manhattan, New

York (the ""New York Residence"") and his estate in Palm Beach,

Florida (the ""Palm Beach Residence"") to engage in sex acts with

